Gene Target,Interacting Gene,Tissue,Enrichr Library
ADH1C,CTCF,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1C,CTCFL,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1C,CTCF,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1C,CTCF,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1C,CBX3,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1C,POLR2A,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1C,RAD21,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1C,HDAC2,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1C,RAD21,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1C,CTCF,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1C,CTCF,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1C,CTCF,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1C,CHD1,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1C,CTCF,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1C,CTCF,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1C,GATA1,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1C,POLR2A,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1C,POLR2A,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1C,CTCF,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1C,EP300,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1C,CTCF,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH3,TAL1,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH3,EP300,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH3,GATA1,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH4,TAL1,Unspecified,ENCODE_TF_ChIP-seq_2015
